x,y,ID
0.8294,0.3031,2009215N13252
0.9125,0.0984,2009215N20133
0.2435,0.1154,2009219N19140
0.0834,0.0947,2009220N12246
0.0762,0.0517,2009221N10201
0.0445,0.9912,2009222N09262
0.1206,0.8479,2009222N14336
0.054,0.9971,2009227N12328
0.0263,0.0578,2009228N11163
0.1205,0.2041,2009228N27277
0.0999,0.2514,2009233N13230
0.0654,0.0161,2009235N14252
0.093,0.104,2009238N12189
0.3155,0.0238,2009238N20151
0.0468,0.3115,2009238N24290
0.7259,0.0753,2009239N10253
0.9794,0.0449,2009239N12270
0.1045,0.9999,2009245N17303
0.0558,0.207,2009246N12250
0.9061,0.0768,2009246N18130
0.0463,0.1835,2009247N19089
0.9419,0.3063,2009251N12336
0.1551,0.1749,2009251N16118
0.0901,0.0293,2009254N14130
0.0249,0.0298,2009255N13155
0.0895,0.2423,2009257N14256
0.0528,0.1211,2009264N13252
0.0946,0.1169,2009268N14128
0.12,0.1046,2009268N15331
0.0805,0.0843,2009269N10163
0.9961,0.023,2009270N10148
0.2939,0.1208,2009271N15257
0.9959,0.0196,2009271N46317
0.06,0.1254,2009272N07164
0.102,0.2054,2009279N15311
0.0784,0.0213,2009281N15144
0.9961,0.0381,2009282N16252
0.8077,0.0344,2009287N10154
0.0496,0.1917,2009288N07267
0.0256,0.9953,2009289N12230
0.0889,0.0715,2009291N16111
0.1114,0.0395,2009299N12153
0.054,0.14,2009305N14134
0.0364,0.0398,2009308N11279
0.9635,0.0883,2009311N20157
0.07,0.9391,2009313N11072
0.0363,0.0079,2009317S10073
0.9995,0.0252,2009324N06129
0.9828,0.018,2009325N06148
0.0558,0.0743,2009325S12066
0.0839,0.0297,2009328N06108
0.0314,0.6076,2009337N14143
0.0509,0.0397,2009337S07096
0.9923,0.197,2009342S09140
0.576,0.4606,2009344N06085
0.9997,0.0921,2009346S07086
0.0628,0.0824,2009346S10172
0.456,0.0181,2010002S09096
0.1,0.0833,2010018N07113
0.0179,0.0267,2010019S11123
0.9999,0.0933,2010020S14147
0.8101,0.311,2010022S12160
0.0915,0.0754,2010027S14184
0.058,0.0414,2010027S17058
0.0762,0.1576,2010029S12177
0.0692,0.5294,2010032S20042
0.0357,0.0296,2010038S08194
0.9148,0.0639,2010040S11185
0.9624,0.0548,2010046S10058
0.9984,0.0718,2010051S06195
0.9496,0.0208,2010066S19050
0.7272,0.3162,2010067S25317
0.0541,0.3373,2010069S12188
0.0284,0.0343,2010070S15168
0.037,0.0598,2010078N03153
0.7744,0.0291,2010080S06089
1.0,0.9817,2010084S09138
0.3706,0.0173,2010091S09093
0.0535,0.04,2010110S10118
0.9999,0.2239,2010136N09057
0.0279,0.1429,2010137N10090
0.0227,0.025,2010143S20035
0.0975,0.0238,2010149N13266
0.0129,0.3589,2010151N14065
0.9961,0.1478,2010166N15255
0.9955,0.1946,2010167N15265
0.9917,0.1965,2010169N13266
0.7738,0.2946,2010172N08272
0.0427,0.0258,2010176N16278
0.081,0.0414,2010188N21269
0.0843,0.0199,2010191N12138
0.0894,0.0625,2010195N14257
0.0523,0.0567,2010198N15123
0.0901,0.6035,2010200N26127
