tid,geometric,kinematic,curvature,indentation,speed,acceleration
316011736,0.1176,0.0338,0.1047,0.695,0.047,0.0484
316011746,0.0683,0.0089,0.0666,0.6416,0.0113,0.0415
316011765,0.1361,0.0737,0.1269,0.1599,0.0883,0.0211
316011773,0.3201,0.0751,0.1055,0.9683,0.0908,0.0232
316011912,0.823,0.9811,0.8572,0.7215,0.9785,0.982
316011982,0.1277,0.0816,0.1281,0.0954,0.1243,0.0121
316012046,0.1435,0.9359,0.1226,0.2114,0.9308,0.9588
316012111,0.796,0.0125,0.8342,0.7333,0.0187,0.0114
316012123,0.1284,0.0755,0.1226,0.1444,0.0887,0.0253
316012135,0.8978,0.7614,0.9246,0.7337,0.7845,0.0201
316012251,0.9992,0.0776,0.9913,0.9849,0.0911,0.0266
316012341,0.7863,0.9982,0.7834,0.7363,0.9989,0.9384
316012342,0.1273,0.0014,0.0869,0.7366,0.0032,0.0273
316012406,0.1199,0.0652,0.1099,0.133,0.0848,0.0194
316012453,0.1331,0.0726,0.1269,0.1378,0.088,0.0197
316012721,0.1373,0.073,0.125,0.1783,0.0887,0.0215
316013073,0.1377,0.0748,0.1269,0.1687,0.0894,0.0225
316013198,0.1284,0.068,0.1273,0.0991,0.0851,0.0194
316013375,0.0686,0.0759,0.0516,0.116,0.0904,0.0242
316013411,0.8403,0.7667,0.8576,0.8383,0.7856,0.0118
316013544,0.1346,0.0716,0.125,0.1543,0.088,0.0208
316013688,0.113,0.0296,0.1035,0.109,0.041,0.0107
316013711,0.1223,0.9957,0.125,0.0703,0.9947,0.9969
316013809,0.1485,0.084,0.1242,0.2339,0.0982,0.0564
316013819,0.6664,0.9907,0.7457,0.4932,0.97,0.9969
316013866,0.125,0.0726,0.1242,0.0862,0.0876,0.0246
316013874,0.7925,0.0039,0.8001,0.7599,0.0127,0.0138
316013941,0.1219,0.1179,0.1186,0.1197,0.1173,0.3204
316014014,0.1238,0.0545,0.1277,0.0869,0.0692,0.0107
316014038,0.9055,0.0723,0.8405,0.161,0.0869,0.0298
316014107,0.0702,0.724,0.0662,0.4228,0.7418,0.0121
316014177,0.8885,0.9879,0.9282,0.3606,0.9841,0.9841
316014343,0.1338,0.0751,0.1198,0.1816,0.089,0.026
316014448,0.13,0.0719,0.121,0.1492,0.088,0.0218
316014621,0.1246,0.8255,0.1238,0.5201,0.8209,0.9509
316014640,0.9927,0.0776,0.9929,0.9923,0.0915,0.0246
316014670,0.1481,0.0556,0.144,0.1366,0.0731,0.027
316014684,0.123,0.0363,0.1115,0.2107,0.0502,0.017
316014770,0.1358,0.0744,0.1269,0.1727,0.0897,0.0235
316014774,0.1269,0.073,0.1194,0.133,0.088,0.0235
316014836,0.1099,0.0182,0.1107,0.5028,0.0286,0.0125
316014850,0.1377,0.0751,0.125,0.182,0.0904,0.0239
316014857,0.8025,0.0096,0.762,0.7794,0.0219,0.01
316014860,0.1373,0.0748,0.1265,0.1812,0.0897,0.0235
316014995,0.1242,0.0723,0.1218,0.1064,0.089,0.0201
316015284,0.1111,0.0762,0.1162,0.0656,0.0936,0.0201
316015439,0.1388,0.0737,0.1277,0.1635,0.0933,0.0166
