tid,geometric,kinematic,curvature,indentation,speed,acceleration
1901212N23132,0.1254,0.0922,0.1142,0.1382,0.1109,0.0334
1901214N33322,0.0867,0.0432,0.075,0.1419,0.0444,0.1623
1901228N17115,0.0493,0.1966,0.0728,0.0257,0.2408,0.0663
1901231N12307,0.1715,0.1951,0.1215,0.2084,0.17,0.5104
1901234N20129,0.0912,0.2563,0.1028,0.0501,0.1981,0.5972
1901238N16338,0.1767,0.1356,0.1138,0.2245,0.0938,0.449
1901241N14338,0.1424,0.2371,0.1542,0.1651,0.3554,0.02
1901252N18309,0.1796,0.6761,0.5209,0.1861,0.5659,0.9245
1901255N11332,0.1025,0.2658,0.0627,0.1488,0.2811,0.23
1901257N20132,0.0803,0.1023,0.0812,0.0638,0.118,0.0324
1901264N14287,0.0818,0.9064,0.0264,0.1461,0.9258,0.0169
1901264N17085,0.0988,0.0969,0.0979,0.082,0.1123,0.0573
1901274N08132,0.0987,0.5521,0.0394,0.1446,0.554,0.5776
1901278N12309,0.0777,0.7534,0.0463,0.0816,0.7534,0.5526
1901278N17087,0.9985,0.3107,0.9977,0.9306,0.2961,0.4823
1901286N14135,0.1175,0.8868,0.1132,0.1332,0.8738,0.8404
1901286N17087,0.1209,0.0248,0.1067,0.1392,0.0475,0.0231
1901288N21280,0.1595,0.1056,0.1194,0.1824,0.172,0.0338
1901292N21130,0.996,0.9995,0.996,0.4937,0.9996,0.3281
1901295N14134,0.1308,0.9713,0.1199,0.1491,0.9363,0.9838
1901297N17133,0.0797,0.1055,0.0536,0.0934,0.1251,0.0748
1901304N19293,0.0697,0.0222,0.045,0.0664,0.0125,0.0738
1901305S09069,0.1037,0.0123,0.054,0.1387,0.0257,0.027
1901313S10068,0.0949,0.0302,0.0488,0.1336,0.0372,0.1337
1901318N16084,0.0971,0.0792,0.0999,0.075,0.0863,0.0364
1901325S09069,0.0964,0.0418,0.0555,0.1332,0.0574,0.0745
1901328N12088,0.1615,0.0725,0.104,0.1946,0.0979,0.0734
1901335S09068,0.0961,0.0934,0.0454,0.1379,0.1754,0.0304
1901343S10067,0.0925,0.0645,0.0441,0.1395,0.1038,0.0761
1901344S13052,0.1137,0.2208,0.102,0.1387,0.2274,0.2256
1901345S13052,0.9386,0.1991,0.1415,0.9132,0.2346,0.0461
1902032S07075,0.1583,0.1307,0.1082,0.1887,0.1744,0.0349
1902032S07435,0.1152,0.1017,0.0936,0.1386,0.1075,0.066
1902032S11064,0.0896,0.1875,0.0505,0.1332,0.1983,0.1894
1902032S11065,0.036,0.1801,0.0488,0.3778,0.2112,0.0383
1902032S17071,0.5788,0.1014,0.1617,0.6954,0.1174,0.0341
1902032S17431,0.1634,0.0869,0.1194,0.1881,0.0925,0.0503
1902035S13122,0.0336,0.896,0.0226,0.0247,0.9314,0.0762
1902040S08073,0.1459,0.1136,0.0974,0.1756,0.1391,0.0619
1902040S11063,0.0885,0.2116,0.0527,0.1325,0.1945,0.4039
1902040S18070,0.1439,0.1451,0.1161,0.17,0.1,0.4729
1902042S15065,0.0588,0.0904,0.052,0.0283,0.139,0.1001
1902046S15066,0.0839,0.0343,0.073,0.0696,0.0687,0.0545
1902116S28155,0.1241,0.3311,0.1038,0.1452,0.3907,0.0626
1902125N14095,0.1999,0.2045,0.1161,0.2822,0.2418,0.0585
1902127N12055,0.0704,0.1243,0.1043,0.3969,0.2025,0.0182
1902140N13128,0.1034,0.0638,0.0574,0.1447,0.1087,0.0599
1902153N18123,0.0809,0.1626,0.1046,0.021,0.2045,0.0366
1902162N19070,0.0617,0.2765,0.0593,0.0449,0.3258,0.0603
1902164N18276,0.1724,0.7511,0.0986,0.2201,0.8222,0.0673
1902172N17268,0.0493,0.2145,0.0419,0.019,0.322,0.04
1902182N20124,0.1516,0.2832,0.1063,0.1734,0.3771,0.0911
1902189N12129,0.1,0.2312,0.0963,0.0988,0.3608,0.129
1902195N13127,0.0836,0.0525,0.0585,0.1013,0.0539,0.1201
1902196N21089,0.1117,0.0667,0.0876,0.1385,0.0702,0.0603
1902205N14130,0.0742,0.103,0.0758,0.0323,0.0849,0.3039
1902208N22088,0.046,0.1227,0.0342,0.0554,0.146,0.0262
1902212N19124,0.1155,0.0588,0.1175,0.1148,0.0822,0.0634
1902217N20129,0.0899,0.0787,0.0477,0.1314,0.0924,0.0422
